processes,points,time,pi_estimate,repeat
1,1000000,0.019497,3.1432880000,1
1,1000000,0.019605,3.1415960000,2
1,1000000,0.019596,3.1424360000,3
2,1000000,0.010202,3.1410960000,1
2,1000000,0.009882,3.1382000000,2
2,1000000,0.009809,3.1382000000,3
4,1000000,0.006417,3.1380400000,1
4,1000000,0.008284,3.1408440000,2
4,1000000,0.006959,3.1408440000,3
8,1000000,0.004539,3.1418120000,1
8,1000000,0.004571,3.1418120000,2
8,1000000,0.004280,3.1426480000,3
1,5000000,0.098612,3.1414664000,1
1,5000000,0.097755,3.1412552000,2
1,5000000,0.100401,3.1412968000,3
2,5000000,0.048879,3.1418512000,1
2,5000000,0.049985,3.1429096000,2
2,5000000,0.049657,3.1423160000,3
4,5000000,0.026178,3.1417040000,1
4,5000000,0.026825,3.1415336000,2
4,5000000,0.038187,3.1415336000,3
8,5000000,0.020231,3.1418368000,1
8,5000000,0.016175,3.1423320000,2
8,5000000,0.017997,3.1423320000,3
1,10000000,0.195972,3.1415204000,1
1,10000000,0.197392,3.1413952000,2
1,10000000,0.196296,3.1413952000,3
2,10000000,0.103892,3.1412248000,1
2,10000000,0.106048,3.1408360000,2
2,10000000,0.098658,3.1408360000,3
4,10000000,0.061881,3.1419160000,1
4,10000000,0.053990,3.1416504000,2
4,10000000,0.052140,3.1416504000,3
8,10000000,0.037176,3.1422512000,1
8,10000000,0.040336,3.1421064000,2
8,10000000,0.041779,3.1421064000,3
1,20000000,0.391817,3.1409086000,1
1,20000000,0.395445,3.1409482000,2
1,20000000,0.394692,3.1416550000,3
2,20000000,0.197428,3.1418506000,1
2,20000000,0.201471,3.1418506000,2
2,20000000,0.214088,3.1416590000,3
4,20000000,0.102048,3.1409222000,1
4,20000000,0.143005,3.1410392000,2
4,20000000,0.132553,3.1410392000,3
8,20000000,0.076992,3.1412800000,1
8,20000000,0.082854,3.1411642000,2
8,20000000,0.066491,3.1411642000,3
