algorithm,processes,matrix_size,time_mean,time_std,speedup,efficiency,t1
blocks,1,2000,0.012924,0.0007109901546435091,1.0,1.0,0.012924
blocks,2,2000,0.012818000000000001,0.00010328601066940232,1.0082696208456856,0.5041348104228428,0.012924
blocks,4,2000,0.013898333333333332,0.0016700587814006231,0.9298956709437584,0.2324739177359396,0.012924
blocks,8,2000,0.013300333333333332,0.00027851810234405386,0.9717049698002557,0.12146312122503196,0.012924
cols,1,2000,0.013339666666666666,0.00020143071596291816,1.0,1.0,0.013339666666666666
cols,2,2000,0.013360333333333333,0.000545483577510207,0.998453132406876,0.499226566203438,0.013339666666666666
cols,4,2000,0.01301,0.0010116288845223827,1.0253394824493978,0.25633487061234944,0.013339666666666666
cols,8,2000,0.013560333333333334,0.000781906217735435,0.9837270470244094,0.12296588087805117,0.013339666666666666
rows,1,2000,0.011117666666666666,0.0005275228273101876,1.0,1.0,0.011117666666666666
rows,2,2000,0.010776333333333332,0.000806157759581419,1.0316743481085096,0.5158371740542548,0.011117666666666666
rows,4,2000,0.009791666666666666,0.0010738958670808516,1.1354212765957448,0.2838553191489362,0.011117666666666666
rows,8,2000,0.008162,0.0013858863589775322,1.36212529608756,0.170265662010945,0.011117666666666666
