algorithm,processes,matrix_size,time,repeat
rows,1,1000,0.001884,1
rows,1,1000,0.002696,2
rows,1,1000,0.001991,3
rows,2,1000,0.002819,1
rows,2,1000,0.001548,2
rows,2,1000,0.001537,3
rows,4,1000,0.001770,1
rows,4,1000,0.001909,2
rows,4,1000,0.001892,3
rows,8,1000,0.002642,1
rows,8,1000,0.002950,2
rows,8,1000,0.003135,3
rows,1,2000,0.010865,1
rows,1,2000,0.011724,2
rows,1,2000,0.010764,3
rows,2,2000,0.011319,1
rows,2,2000,0.011160,2
rows,2,2000,0.009850,3
rows,4,2000,0.010283,1
rows,4,2000,0.010532,2
rows,4,2000,0.008560,3
rows,8,2000,0.009743,1
rows,8,2000,0.007586,2
rows,8,2000,0.007157,3
rows,1,5000,0.059707,1
rows,1,5000,0.050934,2
rows,1,5000,0.044285,3
rows,2,5000,0.041282,1
rows,2,5000,0.040180,2
rows,2,5000,0.041748,3
rows,4,5000,0.038075,1
rows,4,5000,0.041512,2
rows,4,5000,0.038026,3
rows,8,5000,0.037601,1
rows,8,5000,0.039258,2
rows,8,5000,0.037860,3
rows,1,10000,0.257809,1
rows,1,10000,0.206306,2
rows,1,10000,0.197341,3
rows,2,10000,0.193833,1
rows,2,10000,0.198241,2
rows,2,10000,0.217751,3
rows,4,10000,0.178428,1
rows,4,10000,0.176554,2
rows,4,10000,0.154986,3
rows,8,10000,0.148743,1
rows,8,10000,0.150698,2
rows,8,10000,0.154208,3
rows,1,15000,1.713322,1
rows,1,15000,0.473561,2
rows,1,15000,0.447309,3
rows,2,15000,0.364918,1
rows,2,15000,0.346261,2
rows,2,15000,0.351557,3
rows,4,15000,0.334906,1
rows,4,15000,0.344933,2
rows,4,15000,0.336449,3
rows,8,15000,0.328656,1
rows,8,15000,0.329288,2
rows,8,15000,0.351879,3
cols,1,1000,0.003225,1
cols,1,1000,0.003128,2
cols,1,1000,0.003067,3
cols,2,1000,0.003047,1
cols,2,1000,0.003096,2
cols,2,1000,0.003232,3
cols,4,1000,0.003759,1
cols,4,1000,0.003542,2
cols,4,1000,0.003700,3
cols,8,1000,0.003232,1
cols,8,1000,0.002830,2
cols,8,1000,0.003180,3
cols,1,2000,0.013572,1
cols,1,2000,0.013233,2
cols,1,2000,0.013214,3
cols,2,2000,0.012790,1
cols,2,2000,0.013877,2
cols,2,2000,0.013414,3
cols,4,2000,0.014101,1
cols,4,2000,0.012103,2
cols,4,2000,0.012826,3
cols,8,2000,0.012935,1
cols,8,2000,0.014437,2
cols,8,2000,0.013309,3
cols,1,5000,0.080005,1
cols,1,5000,0.081958,2
cols,1,5000,0.081584,3
cols,2,5000,0.078382,1
cols,2,5000,0.076907,2
cols,2,5000,0.080041,3
cols,4,5000,0.076780,1
cols,4,5000,0.076527,2
cols,4,5000,0.076384,3
cols,8,5000,0.080828,1
cols,8,5000,0.078263,2
cols,8,5000,0.078744,3
cols,1,10000,0.311373,1
cols,1,10000,0.312664,2
cols,1,10000,0.315569,3
cols,2,10000,0.316220,1
cols,2,10000,0.305145,2
cols,2,10000,0.314884,3
cols,4,10000,0.300828,1
cols,4,10000,0.301561,2
cols,4,10000,0.297444,3
cols,8,10000,0.305530,1
cols,8,10000,0.317235,2
cols,8,10000,0.305375,3
cols,1,15000,1.430644,1
cols,1,15000,0.854704,2
cols,1,15000,0.799171,3
cols,2,15000,0.756138,1
cols,2,15000,0.668227,2
cols,2,15000,0.689988,3
cols,4,15000,0.673048,1
cols,4,15000,0.683601,2
cols,4,15000,0.675457,3
cols,8,15000,0.681212,1
cols,8,15000,0.676510,2
cols,8,15000,0.670049,3
blocks,1,1000,0.003297,1
blocks,1,1000,0.003352,2
blocks,1,1000,0.003438,3
blocks,2,1000,0.003271,1
blocks,2,1000,0.003343,2
blocks,2,1000,0.003175,3
blocks,4,1000,0.004049,1
blocks,4,1000,0.003986,2
blocks,4,1000,0.003693,3
blocks,8,1000,0.003391,1
blocks,8,1000,0.003680,2
blocks,8,1000,0.003627,3
blocks,1,2000,0.012777,1
blocks,1,2000,0.012298,2
blocks,1,2000,0.013697,3
blocks,2,2000,0.012744,1
blocks,2,2000,0.012936,2
blocks,2,2000,0.012774,3
blocks,4,2000,0.013559,1
blocks,4,2000,0.012424,2
blocks,4,2000,0.015712,3
blocks,8,2000,0.013614,1
blocks,8,2000,0.013082,2
blocks,8,2000,0.013205,3
blocks,1,5000,0.079530,1
blocks,1,5000,0.081973,2
blocks,1,5000,0.078813,3
blocks,2,5000,0.078084,1
blocks,2,5000,0.077347,2
blocks,2,5000,0.076589,3
blocks,4,5000,0.075688,1
blocks,4,5000,0.075818,2
blocks,4,5000,0.079990,3
blocks,8,5000,0.078405,1
blocks,8,5000,0.080503,2
blocks,8,5000,0.078289,3
blocks,1,10000,0.322874,1
blocks,1,10000,0.323361,2
blocks,1,10000,0.317740,3
blocks,2,10000,0.313229,1
blocks,2,10000,0.307451,2
blocks,2,10000,0.301364,3
blocks,4,10000,0.299507,1
blocks,4,10000,0.300292,2
blocks,4,10000,0.298875,3
blocks,8,10000,0.306345,1
blocks,8,10000,0.303219,2
blocks,8,10000,0.307751,3
blocks,1,15000,0.767672,1
blocks,1,15000,0.737602,2
blocks,1,15000,0.742401,3
blocks,2,15000,0.682538,1
blocks,2,15000,0.680811,2
blocks,2,15000,0.679938,3
blocks,4,15000,0.668634,1
blocks,4,15000,0.659228,2
blocks,4,15000,0.667275,3
blocks,8,15000,0.667755,1
blocks,8,15000,0.663869,2
blocks,8,15000,0.683147,3
